01	జనవరి
౦౧	జనవరి
1	జనవరి
౧	జనవరి
జనవరి	జనవరి
02	ఫిబ్రవరి
౦౨	ఫిబ్రవరి
2	ఫిబ్రవరి
౨	ఫిబ్రవరి
ఫిబ్రవరి	ఫిబ్రవరి
03	మార్చి
౦౩	మార్చి
3	మార్చి
౩	మార్చి
మార్చి	మార్చి
04	ఏప్రిల్
౦౪	ఏప్రిల్
4	ఏప్రిల్
౪	ఏప్రిల్
ఏప్రిల్	ఏప్రిల్
05	మే
౦౫	మే
5	మే
౫	మే
మే	మే
06	జూన్
౦౬	జూన్
6	జూన్
౬	జూన్
జూన్	జూన్
07	జూలై
౦౭	జూలై
7	జూలై
౭	జూలై
జూలై	జూలై
08	ఆగస్టు
౦౮	ఆగస్టు
8	ఆగస్టు
౮	ఆగస్టు
ఆగస్టు	ఆగస్టు
09	సెప్టెంబర్
౦౯	సెప్టెంబర్
9	సెప్టెంబర్
౯	సెప్టెంబర్
సెప్టెంబర్	సెప్టెంబర్
10	అక్టోబర్
౧౦	అక్టోబర్
అక్టోబర్	అక్టోబర్
11	నవంబర్
౧౧	నవంబర్
నవంబర్	నవంబర్
12	డిసెంబర్
౧౨	డిసెంబర్
డిసెంబర్	డిసెంబర్
నవరి	జనవరి
